"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"164","Mshoal_EA_So_06_R2.fastq.gz",69433,67113,67113,67113,67112,0.96657209108061
"165","Mshoal_EA_So_07_R1.fastq.gz",81294,79700,79700,79700,79700,0.980392156862745
"166","Mshoal_EA_So_07_R2.fastq.gz",81294,79700,79700,79700,79700,0.980392156862745
"167","Mshoal_EA_So_08_R1.fastq.gz",79210,76000,76000,76000,76000,0.959474813786138
"168","Mshoal_EA_So_08_R2.fastq.gz",79210,76000,76000,76000,76000,0.959474813786138
"169","Mshoal_EA_So_09_R1.fastq.gz",66785,65387,65387,65387,65387,0.979067155798458
"170","Mshoal_EA_So_09_R2.fastq.gz",66785,65387,65387,65387,65387,0.979067155798458
"171","Mshoal_EA_So_10_R1.fastq.gz",77023,74742,74742,74742,74742,0.970385469275411
"172","Mshoal_EA_So_10_R2.fastq.gz",77023,74742,74742,74742,74742,0.970385469275411
"173","PD_EA_Le_01_R1.fastq.gz",41708,41130,41130,41130,41130,0.986141747386593
"174","PD_EA_Le_01_R2.fastq.gz",41708,41130,41130,41130,41130,0.986141747386593
"175","PD_EA_Le_02_R1.fastq.gz",46646,45543,45543,45543,45543,0.97635381383184
"176","PD_EA_Le_02_R2.fastq.gz",46646,45543,45543,45543,45543,0.97635381383184
"177","PD_EA_Le_03_R1.fastq.gz",53016,50597,50597,50597,50597,0.954372264976611
"178","PD_EA_Le_03_R2.fastq.gz",53016,50597,50597,50597,50597,0.954372264976611
"179","PD_EA_Le_04_R1.fastq.gz",57450,54932,54932,54932,54932,0.956170583115753
"180","PD_EA_Le_04_R2.fastq.gz",57450,54932,54932,54932,54932,0.956170583115753
"181","PD_EA_Le_05_R1.fastq.gz",54260,52388,52388,52388,52388,0.965499447106524
"182","PD_EA_Le_05_R2.fastq.gz",54260,52388,52388,52388,52388,0.965499447106524
"183","PD_EA_Le_06_R1.fastq.gz",48627,46956,46956,46956,46956,0.965636374853476
"184","PD_EA_Le_06_R2.fastq.gz",48627,46956,46956,46956,46956,0.965636374853476
"185","PD_EA_Le_07_R1.fastq.gz",50933,49916,49916,49916,49916,0.980032591836334
"186","PD_EA_Le_07_R2.fastq.gz",50933,49916,49916,49916,49916,0.980032591836334
"187","PD_EA_Le_08_R1.fastq.gz",65248,62761,62761,62761,62761,0.961883889161354
"188","PD_EA_Le_08_R2.fastq.gz",65248,62761,62761,62761,62761,0.961883889161354
"189","PD_EA_Le_09_R1.fastq.gz",56794,55514,55514,55514,55514,0.977462408000845
"190","PD_EA_Le_09_R2.fastq.gz",56794,55514,55514,55514,55514,0.977462408000845
"191","PD_EA_Le_10_R1.fastq.gz",56899,54814,54814,54814,54814,0.963356122251709
"192","PD_EA_Le_10_R2.fastq.gz",56899,54814,54814,54814,54814,0.963356122251709
"193","PD_EA_Rh_01_R1.fastq.gz",55144,53717,53717,53717,53717,0.974122297983462
"194","PD_EA_Rh_01_R2.fastq.gz",55144,53717,53717,53717,53717,0.974122297983462
"195","PD_EA_Rh_02_R1.fastq.gz",54181,51837,51837,51837,51837,0.956737601742308
"196","PD_EA_Rh_02_R2.fastq.gz",54181,51837,51837,51837,51837,0.956737601742308
"197","PD_EA_Rh_03_R1.fastq.gz",61478,59099,59099,59099,59099,0.961303230423891
"198","PD_EA_Rh_03_R2.fastq.gz",61478,59099,59099,59099,59099,0.961303230423891
"199","PD_EA_Rh_04_R1.fastq.gz",55677,54701,54701,54701,54701,0.982470319880741
"200","PD_EA_Rh_04_R2.fastq.gz",55677,54701,54701,54701,54701,0.982470319880741
"201","PD_EA_Rh_05_R1.fastq.gz",78839,76802,76802,76802,76802,0.974162533771357
"202","PD_EA_Rh_05_R2.fastq.gz",78839,76802,76802,76802,76802,0.974162533771357
"203","PD_EA_Rh_06_R1.fastq.gz",77468,74822,74822,74822,74822,0.965843961377601
"204","PD_EA_Rh_06_R2.fastq.gz",77468,74822,74822,74822,74822,0.965843961377601
"205","PD_EA_Rh_07_R1.fastq.gz",80943,79150,79150,79150,79150,0.977848609515338
"206","PD_EA_Rh_07_R2.fastq.gz",80943,79150,79150,79150,79150,0.977848609515338
"207","PD_EA_Rh_08_R1.fastq.gz",86503,84654,84654,84654,84654,0.978625018785476
"208","PD_EA_Rh_08_R2.fastq.gz",86503,84654,84654,84654,84654,0.978625018785476
"209","PD_EA_Rh_09_R1.fastq.gz",85263,83825,83825,83823,83823,0.983111079835333
"210","PD_EA_Rh_09_R2.fastq.gz",85263,83825,83825,83823,83823,0.983111079835333
"211","PD_EA_Rh_10_R1.fastq.gz",87390,84142,84142,84142,84142,0.962833276118549
"212","PD_EA_Rh_10_R2.fastq.gz",87390,84142,84142,84142,84142,0.962833276118549
"213","PD_EA_Ro_01_R1.fastq.gz",130215,124757,124757,124756,124755,0.958069346849441
"214","PD_EA_Ro_01_R2.fastq.gz",130215,124757,124757,124756,124755,0.958069346849441
"215","PD_EA_Ro_02_R1.fastq.gz",62820,61713,61713,61712,61712,0.982362304998408
"216","PD_EA_Ro_02_R2.fastq.gz",62820,61713,61713,61712,61712,0.982362304998408
"217","PD_EA_Ro_03_R1.fastq.gz",94343,90769,90769,90760,90760,0.962021559628165
