,Location,Structure,Shannon
Sem_EA_Rh_07,Semakau,Rhizome,2.44906651890159
Sem_EA_Rh_08,Semakau,Rhizome,0.893275162214913
Sem_EA_Rh_09,Semakau,Rhizome,2.38784057629576
Sem_EA_Rh_10,Semakau,Rhizome,2.18191633261162
Sem_EA_Ro_01,Semakau,Root,3.53156391556458
Sem_EA_Ro_02,Semakau,Root,2.45341166104764
Sem_EA_Ro_03,Semakau,Root,3.36010750575265
Sem_EA_Ro_04,Semakau,Root,3.44412265359056
Sem_EA_Ro_05,Semakau,Root,3.06042225167805
Sem_EA_Ro_06,Semakau,Root,2.38984906085088
Sent_EA_Le_01,Sentosa,Leaf,1.94569299564455
Sent_EA_Le_02,Sentosa,Leaf,2.2133375243512
Sent_EA_Le_03,Sentosa,Leaf,1.70364452176182
Sent_EA_Le_04,Sentosa,Leaf,2.22756497442114
Sent_EA_Le_05,Sentosa,Leaf,2.67229972340499
Sent_EA_Le_06,Sentosa,Leaf,1.51954442389482
Sent_EA_Le_07,Sentosa,Leaf,1.43028868309157
Sent_EA_Le_09,Sentosa,Leaf,1.528707763415
Sent_EA_Le_10,Sentosa,Leaf,1.94404469042551
Sent_EA_Rh_01,Sentosa,Rhizome,2.73493250178956
Sent_EA_Rh_02,Sentosa,Rhizome,2.50280322963139
Sent_EA_Rh_03,Sentosa,Rhizome,3.2891936746506
Sent_EA_Rh_04,Sentosa,Rhizome,3.08507657498326
Sent_EA_Rh_05,Sentosa,Rhizome,1.55057386158005
Sent_EA_Rh_06,Sentosa,Rhizome,2.86288090927602
Sent_EA_Rh_07,Sentosa,Rhizome,2.32453158867156
Sent_EA_Rh_08,Sentosa,Rhizome,2.07370687172331
Sent_EA_Rh_10,Sentosa,Rhizome,0.913633497479045
Sent_EA_Ro_01,Sentosa,Root,3.08714463429992
Sent_EA_Ro_02,Sentosa,Root,3.28690957290986
Sent_EA_Ro_03,Sentosa,Root,2.83500108637036
Sent_EA_Ro_04,Sentosa,Root,3.16003190586926
Sent_EA_Ro_05,Sentosa,Root,2.0216270253938
Sent_EA_Ro_06,Sentosa,Root,3.65749024827678
Sent_EA_Ro_07,Sentosa,Root,2.59206075473144
Sent_EA_Ro_08,Sentosa,Root,3.5070067016894
Sent_EA_Ro_09,Sentosa,Root,2.88919500598954
Sent_EA_Ro_10,Sentosa,Root,2.9951741219215
Sent_EA_So_01,Sentosa,Sediment,5.11948726663632
Sent_EA_So_02,Sentosa,Sediment,5.30184401812708
Sent_EA_So_03,Sentosa,Sediment,5.50690415307003
Sent_EA_So_04,Sentosa,Sediment,5.28358672743046
Sent_EA_So_05,Sentosa,Sediment,5.54813209249891
Sent_EA_So_06,Sentosa,Sediment,5.53880118798599
Sent_EA_So_07,Sentosa,Sediment,5.47810702122918
Sent_EA_So_08,Sentosa,Sediment,5.4630868406314
Sent_EA_So_09,Sentosa,Sediment,5.43232257386048
Sent_EA_So_10,Sentosa,Sediment,5.52137045660852
Per_EA_Le_01,Perhentian Island,Leaf,0.468116142263052
Per_EA_Le_02,Perhentian Island,Leaf,2.05350248381412
Per_EA_Le_03,Perhentian Island,Leaf,1.24480136814672
Per_EA_Le_04,Perhentian Island,Leaf,1.98611667047458
Per_EA_Le_05,Perhentian Island,Leaf,2.27446501189233
Per_EA_Le_06,Perhentian Island,Leaf,0.942068367708522
Per_EA_Le_07,Perhentian Island,Leaf,0.697377442766297
Per_EA_Le_08,Perhentian Island,Leaf,1.78968301597412
Per_EA_Le_09,Perhentian Island,Leaf,2.25657285580087
Per_EA_Le_10,Perhentian Island,Leaf,0.73359464257134
Per_EA_Rh_01,Perhentian Island,Rhizome,1.42225829920791
Per_EA_Rh_02,Perhentian Island,Rhizome,3.36353308298145
Per_EA_Rh_03,Perhentian Island,Rhizome,3.24966159177885
Per_EA_Rh_04,Perhentian Island,Rhizome,2.49090649957055
Per_EA_Rh_05,Perhentian Island,Rhizome,3.51505726724547
Per_EA_Rh_06,Perhentian Island,Rhizome,2.24903523625311
Per_EA_Rh_07,Perhentian Island,Rhizome,3.16419444728436
Per_EA_Rh_08,Perhentian Island,Rhizome,3.53656904274211
Per_EA_Rh_09,Perhentian Island,Rhizome,2.29784489499929
Per_EA_Rh_10,Perhentian Island,Rhizome,2.84220420798283
Per_EA_Ro_01,Perhentian Island,Root,1.01077244902256
Per_EA_Ro_02,Perhentian Island,Root,0.962045827931387
Per_EA_Ro_03,Perhentian Island,Root,1.69536847933824
Per_EA_Ro_04,Perhentian Island,Root,1.19441754279296
Per_EA_Ro_05,Perhentian Island,Root,1.31118260051702
Per_EA_Ro_06,Perhentian Island,Root,1.65059994567849
Per_EA_Ro_07,Perhentian Island,Root,1.02862103563009
Per_EA_Ro_08,Perhentian Island,Root,2.40454306232589
Per_EA_Ro_09,Perhentian Island,Root,2.10320778168117
Per_EA_Ro_10,Perhentian Island,Root,1.81302527589941
Per_EA_So_01,Perhentian Island,Sediment,2.77371601271956
Per_EA_So_02,Perhentian Island,Sediment,2.66943486013136
Per_EA_So_03,Perhentian Island,Sediment,2.72873908453483
Per_EA_So_04,Perhentian Island,Sediment,3.39342174898305
Per_EA_So_05,Perhentian Island,Sediment,3.2768461025359
Per_EA_So_06,Perhentian Island,Sediment,2.68168744939105
Per_EA_So_07,Perhentian Island,Sediment,3.36061780294401
Per_EA_So_08,Perhentian Island,Sediment,3.55864018332915
Per_EA_So_09,Perhentian Island,Sediment,2.94460529279292
Per_EA_So_10,Perhentian Island,Sediment,3.63576666029001
Sem_EA_Ro_07,Semakau,Root,3.22747129122114
Sem_EA_Ro_08,Semakau,Root,2.82099321374173
Sem_EA_Ro_09,Semakau,Root,3.29183856212352
Sem_EA_Ro_10,Semakau,Root,1.75227093161056
Sem_EA_So_01,Semakau,Sediment,6.35504156110553
Sem_EA_So_02,Semakau,Sediment,6.35054771688442
Sem_EA_So_03,Semakau,Sediment,6.37580946794697
Sem_EA_So_04,Semakau,Sediment,6.41830999786544
Sem_EA_So_05,Semakau,Sediment,6.25561591152297
Sem_EA_So_06,Semakau,Sediment,6.27841742052788
Sem_EA_So_07,Semakau,Sediment,5.87856147823902
Sem_EA_So_08,Semakau,Sediment,6.04885145300251
Sem_EA_So_09,Semakau,Sediment,6.16063861711437
Sem_EA_So_10,Semakau,Sediment,6.1430251757425
